"","covariate","n","nevent","coef","se","hazard_ratio","hr_confint_lower","hr_confint_upper","p_value","p_adjusted"
"24","Non-leukocyte_derived_neural_cells_vascular_contact",33,27,-0.517263,0.2513185,0.596149977265949,0.364277886475592,0.975614520092489,0.0395712447680926,0.352121047620021
"5","B_cells_M1_contact",60,48,-0.4161714,0.1604605,0.659567190585077,0.481587036309542,0.903323482770568,0.00949752213518298,0.330680755620385
"28","Other_immune_vascular_contact",64,49,-0.3225672,0.1626788,0.724287245445893,0.526548495866836,0.996284327148224,0.0473845145826766,0.365537683923505
"18","CD8+_T_cells_tumor_contact",71,54,-0.2603479,0.1195513,0.770783355321612,0.609775621623856,0.974304251879917,0.0294277421025573,0.352121047620021
"22","M1_macrophages_tumor_med_dist",76,60,0.2200436,0.1063913,1.24613101370996,1.0115869879902,1.53505582986489,0.0386168044054798,0.352121047620021
"25","Monocytes_vascular_med_dist",60,46,0.2657954,0.130235,1.30446819549097,1.01059533947738,1.68379687356112,0.0412616052327577,0.352121047620021
"27","Unidentified_assort",77,60,0.2663808,0.1332281,1.3052320195775,1.00527246655058,1.69469540011979,0.0455613334094916,0.364490667275933
"23","Other_immune_vascular_med_dist",64,49,0.2684508,0.1298098,1.30793662622839,1.01412714572072,1.68686759391886,0.0386370132797913,0.352121047620021
"14","CD163+_cells_M1_med_dist",75,59,0.2716792,0.1189195,1.31216599847526,1.03935589753031,1.65658328551926,0.0223384513912112,0.330680755620385
"20","CD11c+_epithelial_M1_med_dist",70,55,0.2804611,0.1328729,1.32374001766789,1.02023695150466,1.71753006180682,0.0347941132979781,0.352121047620021
"26","B_cells_vascular_med_dist",60,47,0.2859685,0.1408906,1.33105048369213,1.00987651155998,1.75436835083952,0.0423849409172248,0.352121047620021
"17","CD4+_T_cells_tumor_med_dist",72,55,0.2897577,0.1330345,1.33610365807121,1.02943989082971,1.73412066213253,0.0294012524234379,0.352121047620021
"12","M1_macrophages_vascular_med_dist",75,59,0.2950432,0.1283077,1.34318437836399,1.04452753231771,1.72723477214414,0.0214767558507018,0.330680755620385
"11","CD4+_T_cells_M1_med_dist",71,55,0.3158936,0.1340398,1.37148429885068,1.05461984159756,1.78355186182029,0.0184374180387641,0.330680755620385
"16","CD11b_low_Neutrophils_prop",71,55,0.32059,0.1432198,1.3779404890502,1.04069049620051,1.82448095595761,0.0251918456653504,0.34008991648223
"10","Vascular_endothelial_cells_tumor_med_dist",76,59,0.3243021,0.1365128,1.38306506691411,1.05838263723228,1.8073510581394,0.0175196468088238,0.330680755620385
"15","NK/NKT_tumor_med_dist",57,43,0.3352021,0.1474042,1.3982229611488,1.0473835897764,1.86658208909028,0.0229639413625267,0.330680755620385
"9","B_cells_M1_med_dist",60,48,0.3383805,0.1406419,1.40267405441002,1.06473653083387,1.84786982125443,0.0161295129908678,0.330680755620385
"13","CD11b+_epithelial_assort",51,37,0.3395851,0.1482347,1.40436480356416,1.05027328507429,1.87783554006164,0.021971463143355,0.330680755620385
"19","NK/NKT_M1_med_dist",56,43,0.346605,0.1609402,1.41425793113995,1.03165871326001,1.93874725244351,0.0312695629618086,0.352121047620021
"3","B_cells_tumor_med_dist",61,48,0.3486365,0.13145,1.41713391324792,1.0952682109425,1.83358606413784,0.00799603670891491,0.330680755620385
"21","HLADR+_M1_med_dist",50,40,0.36115,0.1712942,1.43497862913491,1.0257452837638,2.00748051067626,0.0349998239097319,0.352121047620021
"4","Neutrophils_prop",56,42,0.4050817,0.1559348,1.49942503999284,1.10456881719017,2.03543266437372,0.00938333069715057,0.330680755620385
"1","CD11c+_epithelial_tumor_med_dist",70,55,0.423223,0.1189099,1.52687478094202,1.20944769644817,1.92761258177869,0.000372001230447124,0.0803522657765788
"7","HLADR+_tumor_med_dist",51,40,0.4396546,0.1771889,1.55217105177959,1.09677132419148,2.19666116431207,0.0130912994996076,0.330680755620385
"2","NK/NKT_vascular_med_dist",56,42,0.4510403,0.1490486,1.56994460619735,1.17223293461266,2.10259069998111,0.00247706578270554,0.267523104532198
"6","Dendritic_cells_vascular_contact",29,24,0.4930547,0.1980602,1.63731006167556,1.11055942158885,2.41390436743017,0.0127952222232455,0.330680755620385
"8","M2_macrophages_region",36,27,0.5149135,0.2082426,1.67349367731704,1.11267323464984,2.51698432280657,0.0134111159698753,0.330680755620385
